Front	Back	Tags
What is the difference between reducible definitions and theorem APIs?	<p>A reducible definition can be unfolded by proof automation. A theorem API gives named facts without exposing representation. Prefer theorem APIs when callers should not depend on the internal representation.</p>	lean core modeling api
How do you keep representation details local?	<p>Expose constructors, projections, and theorems that state the intended behavior. Keep low-level encodings behind namespaces, private helpers, or construction-specific modules.</p>	lean core modeling abstraction
What is an import aggregator?	<p>An aggregator module imports a curated collection of modules so users can import one stable name. It should not add new mathematical content unless the project explicitly uses it that way.</p>	lean core modules imports
How do you avoid circular imports?	<p>Place definitions in the earliest common dependency layer, move shared lemmas upward, and keep examples/tests from importing back into core theory.</p>	lean core modules imports
What is the first question when choosing where a theorem belongs?	<p>Ask: &quot;At what level is this theorem true?&quot; Place it at the highest general layer where the assumptions are sufficient, rather than duplicating it in a specific construction.</p>	lean core modules placement
"What does ""source-facing PascalCase"" mean in this project?"	<p>Public declarations that mirror mathematical source content use descriptive PascalCase names, such as <code>IsUpperBound</code> or <code>MaximumIsSupremum</code>. Local proof helpers may use snake_case when they are genuinely internal.</p>	lean core lra naming
What is a good Lean workflow for a new concept?	<p>1. Decide the carrier types and structures.<br>2. Write predicate or data definitions.<br>3. Write theorem statements that expose the intended API.<br>4. Prove small reusable lemmas.<br>5. Add examples or tests only after the core shape is stable.</p>	lean core workflow modeling
What is a good Lean workflow for a stuck proof?	<p>1. Read the target and hypotheses.<br>2. Unfold only the definitions relevant to the goal.<br>3. Introduce variables and decompose conjunctions/existentials.<br>4. Search for theorem APIs before doing representation work.<br>5. Use <code>have</code> claims to make the mathematical path visible.</p>	lean core workflow tactics
What is a common proof pattern for monotonic upper bounds?	"<p>To prove <code>b</code> is an upper bound from <code>a</code> being an upper bound and <code>a ≤ b</code>:</p><pre><code>intro x hx
exact le_trans (ha x hx) hab</code></pre><p>The pattern is: introduce an arbitrary member, get the old bound, compose inequalities.</p>"	lean core proof-patterns bounds
What is a common proof pattern for set equality?	"<p>Use extensionality and prove membership equivalence:</p><pre><code>ext x
constructor
· intro hx
  ...
· intro hx
  ...</code></pre>"	lean core proof-patterns sets ext
What is a common proof pattern for function equality?	<p>Use function extensionality:</p><pre><code>funext x</code></pre><p>Then prove the two functions give equal values at arbitrary <code>x</code>.</p>	lean core proof-patterns functions ext
What is a common proof pattern for structure equality?	<p>Use extensionality if an ext theorem exists, or prove each field equal. Often the better design is to prove fieldwise behavior rather than relying on record equality.</p>	lean core proof-patterns structures ext
What is a common proof pattern for a bundled algebraic law?	<p>Open the structure value, use its named law fields, and avoid reproving laws from raw operation definitions unless the construction-specific theorem is exactly about those definitions.</p>	lean core proof-patterns algebra structures
"What is a common proof pattern for ""operation respects equivalence""?"	<p>Assume equivalent inputs, unfold the operation on representatives, and prove the outputs are equivalent. This theorem is usually needed before defining an operation on a quotient.</p>	lean core proof-patterns quotient
What is a common proof pattern for classical choice definitions?	<p>First prove existence and uniqueness or sufficient existence. Then define the chosen object with <code>Classical.choose</code> or a noncomputable construction, and prove a correctness theorem about the chosen object.</p>	lean core proof-patterns classical
What does a good theorem header do for future proof work?	<p>It exposes exactly the assumptions the proof needs, avoids hidden representation commitments, and leaves the conclusion in the vocabulary callers want to use.</p>	lean core headers theorem-design
What does a good definition header do for future theorem work?	<p>It orders parameters from general structure to specific objects, keeps inferable type parameters implicit, and returns the mathematical object or proposition that downstream theorems should cite.</p>	lean core headers def-design
What should you do before changing a theorem statement to make a proof easier?	<p>Check whether the new statement still says the intended mathematics. If the proof is hard because the abstraction boundary is wrong, add or use a supporting lemma instead of weakening the theorem accidentally.</p>	lean core workflow theorem-design
"What is ""term mode"" in Lean?"	<p>Term mode writes the proof or object directly as an expression:</p><pre><code>fun x hx =&gt; le_trans (ha x hx) hab</code></pre><p>It is concise for simple functions and direct proof terms.</p>	lean core term-mode
"What is ""tactic mode"" in Lean?"	<p>Tactic mode writes a script after <code>by</code> that incrementally transforms goals. It is clearer for proofs with branching, decomposition, or several intermediate claims.</p>	lean core tactic-mode
When is `aesop` appropriate?	<p><code>aesop</code> can solve routine logical goals using registered rules. Use it for local automation after the statement is clear; avoid relying on it when it hides the main mathematical argument of a public theorem.</p>	lean core tactics aesop
What does `all_goals` do?	<p>It applies a tactic to every remaining goal.</p><pre><code>all_goals simp</code></pre><p>Use it when every branch has the same routine cleanup.</p>	lean core tactics all-goals
What is the danger of proving by repeated unfolding?	<p>Repeated unfolding couples proofs to representation details. Prefer named theorem APIs once a concept has stable behavior, especially across modules.</p>	lean core proof-design unfolding
What is the role of tests and examples in Lean projects?	<p>Examples show intended use and compile-check behavior. Tests catch regressions. They should not become the primary source of reusable theory; central facts belong in named declarations.</p>	lean core workflow tests examples
What does it mean for Lean to elaborate a declaration?	<p>Elaboration resolves implicit arguments, typeclasses, overloaded notation, coercions, universe levels, and expected types until the declaration has a fully checked core expression.</p>	lean core elaboration
What is a useful mental model for Lean errors?	<p>Lean errors usually mean one of three things: the target is not what you thought, a hypothesis has a different type than expected, or an instance/import/notation is missing. Inspect types before changing mathematics.</p>	lean core workflow errors
